0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:10 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:10 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:10 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:13 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 17259
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:13 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:13 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:13 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:13 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:13 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:13 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:13 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:18 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:18 +0530] "GET /ORSProject3/ctl/image/bger.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:18 +0530] "GET /ORSProject3/image/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:20 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:20 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:20 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:26 +0530] "GET /ORSProject3/ctl/MarksheetMeritListCtl HTTP/1.1" 500 4749
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:28 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:32 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:32 +0530] "GET /ORSProject3/ctl/image/bger.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:35 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:39 +0530] "GET /ORSProject3/ctl/CollegeListCtl HTTP/1.1" 200 28046
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:39 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:39 +0530] "GET /ORSProject3/image/bg_theam.jpg HTTP/1.1" 200 14115
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:39 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:39 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:39 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:39 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:39 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:46 +0530] "GET /ORSProject3/ctl/FacultyListCtl HTTP/1.1" 200 26075
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:46 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:46 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:46 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:46 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:46 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:48 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:48 +0530] "GET /ORSProject3/ctl/image/bger.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:50 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:50 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:53 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:54 +0530] "GET /ORSProject3/ctl/image/bger.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:59 +0530] "GET /ORSProject3/ctl/SubjectListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:59 +0530] "GET /ORSProject3/ErrorCtl HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:18:59 +0530] "GET /ORSProject3/image/bg_error.jpg HTTP/1.1" 200 57868
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:03 +0530] "GET /ORSProject3/ctl/CourseListCtl HTTP/1.1" 200 26579
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:03 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:03 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:03 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:03 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:03 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:03 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:03 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:04 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:11 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:11 +0530] "GET /ORSProject3/ctl/image/bger.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:13 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
